Latitude	Longitude
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.90	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.91	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.92	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.93	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.94	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.95	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.96	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.37
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.97	-118.38
33.98	-118.38
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.39
33.98	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
33.99	-118.40
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.00	-118.41
34.01	-118.41
34.01	-118.41
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.01	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.42
34.02	-118.43
34.02	-118.43
34.02	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.43
34.03	-118.44
34.03	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.04	-118.44
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.05	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.45
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.06	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.46
34.07	-118.47
34.07	-118.47
34.07	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.08	-118.47
34.09	-118.47
34.09	-118.47
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.09	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.10	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.11	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.12	-118.48
34.13	-118.48
34.13	-118.48
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.13	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.14	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.15	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.16	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.17	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.18	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.19	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.20	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.21	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.22	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.23	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.24	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.25	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.26	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.27	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.28	-118.47
34.29	-118.47
34.29	-118.47
34.29	-118.47
34.29	-118.47
34.30	-118.47
