Longitude,Latitude
-117.9748412,33.7225992
-117.9752253,33.7229256
-117.9755884,33.7232187
-117.9759384,33.7234864
-117.976175,33.7236689
-118.3703565,33.9051735
-118.3703554,33.9092589
-118.3703559,33.9097084
-118.3703548,33.9120466
-118.3682698,33.9296248
-118.3681979,33.9298045
-118.3680846,33.930471
-118.3680684,33.9306251
-118.3680104,33.9311731
-118.3679706,33.9315214
-118.3678274,33.9324452
-118.3682698,33.9296248
-118.3682824,33.9305908
-118.368287,33.9311751
-118.36828,33.9332096
-118.3682768,33.9348588
-118.3702652,33.8991033
-118.3703122,33.8993699
-118.3703417,33.8996427
-118.3703524,33.8999332
-118.3703427,33.9015828
-118.3703413,33.9018008
-118.278228,33.8518283
-118.2794859,33.8526965
-118.2801329,33.8531621
-118.2802489,33.8532556
-118.280412,33.8533898
-118.2804736,33.8534405
-118.28066,33.8536035
-118.341783,33.8724604
-118.3422877,33.8731122
-118.3434703,33.8747768
-118.370319,33.9150037
-118.3702846,33.9153713
-118.3702405,33.9157257
-118.3702212,33.915859
-118.370174,33.9161756
-118.3700962,33.9166241
-118.369997,33.9170815
-118.3698455,33.9177615
-118.3693482,33.9199875
-118.3682543,33.926234
-118.3682535,33.9276233
-118.3682549,33.9285014
-118.3682698,33.9296248
-118.3703548,33.9120466
-118.3703551,33.9135346
-118.370351,33.9142625
-118.3703403,33.9146242
-118.370319,33.9150037
-118.2577108,33.8336696
-118.257929,33.8338898
-118.2585928,33.8345694
-118.2592115,33.8352027
-118.2596019,33.8355987
-118.261232,33.8372698
-118.3434703,33.8747768
-118.3437089,33.875115
-118.3439738,33.8754906
-118.3444081,33.8760974
-118.3448558,33.8767243
-118.345199,33.8772065
-118.3463366,33.8788103
-118.3703413,33.9018008
-118.3703531,33.9021407
-118.3703544,33.9028943
-118.3703565,33.9051735
-118.3677039,33.9345661
-118.3677305,33.9347727
-118.3677561,33.9349675
-118.3678325,33.9354982
-118.3678861,33.936062
-118.3679022,33.9364751
-118.3679169,33.9368612
-118.3679451,33.937442
-118.3679652,33.9380973
-118.3679972,33.9387102
-118.3680075,33.9392662
-118.3680095,33.9400745
-118.3680028,33.9417661
